CustomerID,TotalSpent,TotalTransactions,LastTransactionDate
C0512,2481.0499999999997,1,2024-03-16T16:17:05.000Z
C4105,1234.28,1,2024-11-25T08:37:37.000Z
C4909,2098.7400000000002,3,2024-02-20T03:04:39.000Z
C1096,2418.44,4,2024-07-10T10:25:32.000Z
C1814,1689.1399999999999,2,2024-10-04T06:37:05.000Z
C4592,277.33,1,2024-09-07T14:00:54.000Z
C1642,3362.49,2,2024-12-09T17:06:37.000Z
C3842,393.67,2,2024-11-11T19:31:29.000Z
C4166,940.46,1,2024-10-17T20:08:35.000Z
C1520,4782.18,7,2024-11-19T22:48:51.000Z
C2428,3736.9300000000003,4,2024-12-06T22:31:44.000Z
C1704,4526.4,3,2024-06-29T05:00:35.000Z
C2650,1670.5,2,2024-08-21T06:53:46.000Z
C3927,1246.3600000000001,3,2024-11-10T03:11:48.000Z
C2534,1541.02,2,2024-08-23T14:53:51.000Z
C0428,4264.9,3,2024-12-21T16:17:02.000Z
C2705,1709.3899999999999,3,2024-09-01T16:17:34.000Z
C0662,2547.93,3,2024-12-04T12:15:53.000Z
C0518,751.88,3,2024-05-14T04:03:33.000Z
C3234,1119.3000000000002,1,2024-05-01T10:09:46.000Z
C3099,518.8199999999999,1,2024-06-10T16:22:36.000Z
C2357,746.32,1,2024-09-26T08:20:24.000Z
C0601,2325.96,2,2024-11-14T04:43:54.000Z
C0154,581.09,2,2024-12-09T17:17:04.000Z
C0034,1328.52,1,2024-09-20T16:37:42.000Z
C4942,1247.14,2,2024-08-31T18:42:28.000Z
C4054,687.44,2,2024-11-27T02:15:25.000Z
C1623,1042.0,1,2024-03-19T14:41:28.000Z
C0130,3494.9100000000003,4,2024-12-11T21:06:37.000Z
C1491,3371.7,2,2024-10-04T12:53:49.000Z
C3677,2027.25,2,2024-12-14T00:58:44.000Z
C0338,311.06,3,2024-09-23T17:19:26.000Z
C0384,1514.25,4,2024-10-18T05:14:01.000Z
C0347,1409.04,1,2024-04-19T23:42:26.000Z
C1195,2747.94,3,2024-09-21T14:39:38.000Z
C1173,436.56,1,2024-09-06T10:01:07.000Z
C1369,875.0,1,2024-04-03T19:33:10.000Z
C2508,482.18,1,2024-12-04T22:05:49.000Z
C0788,121.91,1,2024-03-04T01:42:36.000Z
C4741,1274.83,3,2024-10-28T18:37:30.000Z
C1454,239.78,1,2024-08-03T05:07:28.000Z
C1947,1374.4499999999998,1,2024-05-03T14:42:23.000Z
C1740,1058.44,3,2024-05-25T09:59:58.000Z
C4440,4022.29,3,2024-10-26T16:16:50.000Z
C1023,857.6,1,2024-03-19T08:42:57.000Z
C2766,1714.46,2,2024-08-19T06:22:13.000Z
C2576,870.33,2,2024-08-12T14:54:09.000Z
C4353,41.73,1,2024-02-26T15:38:01.000Z
C3590,2247.2400000000002,2,2024-09-07T11:12:32.000Z
C0195,3071.64,4,2024-09-13T23:32:40.000Z
C2358,767.38,1,2024-06-10T00:29:09.000Z
C0179,2752.04,3,2024-10-18T03:28:46.000Z
C2270,524.75,1,2024-01-14T14:18:50.000Z
C2379,504.84,2,2024-10-09T07:48:43.000Z
C1498,655.98,1,2024-11-12T11:02:19.000Z
C0484,3031.0299999999997,4,2024-10-13T13:07:10.000Z
C3820,4426.63,3,2024-12-22T03:52:12.000Z
C0167,778.04,1,2024-08-09T07:13:13.000Z
C4286,49.74,1,2024-07-04T01:53:10.000Z
C4708,614.58,1,2024-05-02T22:57:24.000Z
C2425,2350.49,2,2024-11-04T20:34:12.000Z
C1396,2042.12,3,2024-11-17T03:21:14.000Z
C4171,1546.56,1,2024-05-25T02:00:33.000Z
C3777,751.09,2,2024-10-14T01:27:04.000Z
C3097,697.44,1,2024-03-10T02:04:45.000Z
C1649,1605.9,1,2024-05-24T21:37:49.000Z
C2412,1347.74,2,2024-11-13T07:30:12.000Z
C0150,1169.6,2,2024-11-04T05:06:02.000Z
C4915,1505.46,2,2024-04-04T04:13:33.000Z
C4125,52.64,1,2024-09-02T14:52:43.000Z
C0905,524.67,2,2024-03-10T13:22:13.000Z
C0369,323.74,2,2024-09-29T14:13:13.000Z
C3046,3022.08,3,2024-11-11T02:14:10.000Z
C2473,2896.05,4,2024-12-09T02:19:53.000Z
C3024,3004.58,2,2024-04-25T13:42:39.000Z
C1337,483.57,1,2024-08-28T10:04:48.000Z
C3651,1036.77,2,2024-12-10T13:06:53.000Z
C4628,3230.42,4,2024-09-21T14:14:17.000Z
C4552,1955.5499999999997,2,2024-11-30T17:46:55.000Z
C0033,3591.49,3,2024-11-14T20:01:17.000Z
C2566,1529.56,1,2024-08-10T04:23:31.000Z
C1769,34.2,1,2024-03-21T20:31:30.000Z
C3813,273.01,2,2024-08-05T03:49:34.000Z
C3201,2199.7599999999998,2,2024-09-26T00:44:16.000Z
C4305,133.17,1,2024-02-14T17:42:55.000Z
C4150,3492.5299999999997,4,2024-09-08T11:21:19.000Z
C4924,1014.78,1,2024-06-01T11:12:31.000Z
C3579,3518.8900000000003,4,2024-07-25T08:42:41.000Z
C0895,683.72,2,2024-11-21T23:19:01.000Z
C0544,3329.59,4,2024-06-04T13:53:54.000Z
C4498,786.47,2,2024-04-21T02:58:55.000Z
C0107,2902.0799999999995,4,2024-12-12T11:10:07.000Z
C3645,880.48,2,2024-08-18T10:03:59.000Z
C0813,1025.8400000000001,2,2024-07-01T01:52:44.000Z
C2062,1754.0299999999997,3,2024-11-10T14:20:22.000Z
C4288,1794.6100000000001,3,2024-07-06T13:33:11.000Z
C4165,1326.0,2,2024-05-15T21:40:37.000Z
C0379,2312.7599999999998,2,2024-09-25T06:53:55.000Z
C3033,1759.54,5,2024-10-25T14:58:03.000Z
C0915,969.55,3,2024-10-10T10:31:12.000Z
C1703,542.49,1,2024-10-13T13:19:27.000Z
C1114,1077.8,1,2024-05-05T02:38:36.000Z
C2792,1796.8000000000002,1,2024-01-05T23:05:13.000Z
C2120,1223.94,1,2024-03-16T12:21:08.000Z
C4640,1265.9,1,2024-07-23T07:21:20.000Z
C1955,59.26,1,2024-06-30T03:35:59.000Z
C0870,4458.62,5,2024-09-14T21:41:05.000Z
C1127,1843.8,1,2024-03-16T01:21:23.000Z
C3463,3813.45,3,2024-12-13T11:35:33.000Z
C0460,4348.39,4,2024-06-29T21:32:35.000Z
C3533,932.0799999999999,2,2024-02-18T13:20:29.000Z
C4831,2846.6499999999996,3,2024-09-30T08:20:14.000Z
C4473,744.1500000000001,1,2024-02-17T00:42:07.000Z
C0647,415.71,2,2024-12-01T02:13:00.000Z
C0016,1444.29,3,2024-09-15T10:38:31.000Z
C2724,1931.38,3,2024-12-17T14:29:56.000Z
C1934,3227.85,3,2024-10-29T08:57:33.000Z
C3343,289.06,1,2024-03-30T09:46:55.000Z
C3913,5179.0599999999995,3,2024-07-09T15:27:36.000Z
C2075,2741.97,3,2024-09-05T02:05:21.000Z
C3633,655.12,1,2024-10-19T04:20:01.000Z
C4036,2623.83,2,2024-12-10T15:11:17.000Z
C1732,712.75,1,2024-07-01T09:20:27.000Z
C1542,656.2,1,2024-09-28T07:29:37.000Z
C4786,3478.8399999999992,4,2024-09-30T05:15:26.000Z
C2203,264.18,2,2024-03-14T10:54:51.000Z
C1328,2524.56,2,2024-06-21T22:26:06.000Z
C3070,654.08,1,2024-02-11T19:07:24.000Z
C4346,1896.15,2,2024-12-16T19:56:56.000Z
C4117,2063.0,1,2024-06-03T08:22:31.000Z
C1918,305.7,1,2024-10-29T16:22:14.000Z
C0721,2905.79,2,2024-02-23T14:30:32.000Z
C3719,2766.59,2,2024-06-03T23:49:18.000Z
C3835,2277.33,2,2024-09-28T00:28:32.000Z
C2406,2555.65,3,2024-08-26T07:37:40.000Z
C2492,5947.75,7,2024-08-21T09:31:42.000Z
C3896,249.81,1,2024-08-02T07:04:26.000Z
C3999,890.3,1,2024-05-22T00:31:30.000Z
C1507,1857.0499999999997,2,2024-07-06T10:50:04.000Z
C2009,883.0,1,2024-06-26T04:59:49.000Z
C1570,1225.6399999999999,3,2024-06-18T03:18:03.000Z
C3459,389.59,2,2024-10-31T15:15:47.000Z
C3960,4204.379999999999,3,2024-10-12T19:57:25.000Z
C1359,1583.96,1,2024-06-10T08:04:18.000Z
C3007,824.1500000000001,2,2024-05-30T07:23:52.000Z
C1952,3557.4,4,2024-07-30T17:43:33.000Z
C0462,3167.5200000000004,3,2024-08-07T11:57:37.000Z
C2249,1085.6100000000001,1,2024-05-03T00:38:05.000Z
C2857,2108.4300000000003,3,2024-12-10T19:10:52.000Z
C1600,1031.4,1,2024-07-10T07:37:15.000Z
C1937,4251.24,3,2024-09-13T00:19:18.000Z
C1817,2415.23,3,2024-10-10T11:33:54.000Z
C1485,1665.93,2,2024-05-23T22:06:18.000Z
C4103,415.92,1,2024-04-13T14:12:16.000Z
C4254,5480.139999999999,5,2024-09-15T15:04:07.000Z
C0067,3482.56,3,2024-09-08T05:37:06.000Z
C0131,346.24,2,2024-08-30T00:00:12.000Z
C1209,1053.29,2,2024-01-23T09:28:59.000Z
C2416,171.28,2,2024-11-02T01:19:29.000Z
C4414,4172.6900000000005,5,2024-07-25T09:17:56.000Z
C4520,2341.1,3,2024-09-23T09:08:57.000Z
C0191,2513.6,3,2024-03-24T03:17:29.000Z
C3329,1504.55,3,2024-10-23T08:58:19.000Z
C3363,1189.05,2,2024-11-15T05:28:26.000Z
C1066,802.2399999999999,2,2024-05-22T22:35:21.000Z
C2643,634.68,2,2024-08-11T06:05:00.000Z
C4597,1285.38,3,2024-08-15T11:48:14.000Z
C4815,1717.99,3,2024-09-08T07:50:17.000Z
C3211,37.58,1,2024-04-02T12:31:35.000Z
C1717,3929.3500000000004,4,2024-11-25T18:43:35.000Z
C3061,2380.65,4,2024-10-15T19:43:18.000Z
C4292,2912.34,3,2024-02-23T02:18:45.000Z
C4070,434.49,1,2024-06-04T13:07:00.000Z
C1020,4595.06,4,2024-12-02T09:13:30.000Z
C4866,1929.4,1,2024-04-10T09:25:36.000Z
C0926,3511.74,3,2024-05-07T03:32:37.000Z
C1322,1490.25,1,2024-08-30T20:39:01.000Z
C0261,852.5,1,2024-09-12T18:42:06.000Z
C4667,365.23,1,2024-12-15T05:48:44.000Z
C4324,1640.62,3,2024-06-19T09:11:31.000Z
C3357,2099.9300000000003,5,2024-12-09T22:49:21.000Z
C4974,383.18,1,2024-04-11T19:58:15.000Z
C2607,2342.56,2,2024-06-15T16:21:54.000Z
C1893,2650.29,4,2024-11-27T15:26:43.000Z
C4441,2725.26,3,2024-03-03T12:28:11.000Z
C0438,1846.77,3,2024-06-28T06:25:07.000Z
C3245,1932.13,3,2024-11-09T01:43:06.000Z
C3658,3696.6600000000003,3,2024-11-15T07:34:23.000Z
C0616,5505.320000000001,6,2024-10-10T10:42:33.000Z
C0057,715.44,2,2024-02-28T09:36:06.000Z
C3071,337.83000000000004,2,2024-12-14T22:28:30.000Z
C0877,3128.41,4,2024-11-22T08:57:02.000Z
C0280,1170.5800000000002,2,2024-07-29T07:58:49.000Z
C3940,2151.27,2,2024-09-20T14:35:04.000Z
C0893,187.84,1,2024-01-06T18:37:48.000Z
C2598,2054.87,2,2024-07-13T04:56:35.000Z
C3126,645.9599999999999,2,2024-08-12T02:46:55.000Z
C1186,296.04,2,2024-08-13T08:13:57.000Z
C4359,2266.09,3,2024-11-01T13:36:25.000Z
C0609,1304.05,1,2024-07-29T13:11:06.000Z
C1658,1197.72,1,2024-05-30T12:21:32.000Z
C2457,180.84,1,2024-06-29T22:20:38.000Z
C2122,2285.15,2,2024-10-01T16:01:41.000Z
C3218,3211.42,5,2024-10-08T06:53:10.000Z
C0520,578.22,2,2024-02-26T11:01:19.000Z
C3973,2903.54,4,2024-11-23T21:39:31.000Z
C4875,3199.62,3,2024-07-27T17:27:01.000Z
C0831,4151.64,3,2024-11-08T09:58:32.000Z
C4204,895.44,1,2024-07-04T12:59:07.000Z
C0046,1937.22,2,2024-07-07T16:00:23.000Z
C0660,3091.94,4,2024-12-14T10:45:50.000Z
C4979,964.48,2,2024-10-01T07:34:53.000Z
C0990,2313.11,4,2024-11-23T02:14:38.000Z
C1587,3666.38,5,2024-12-04T02:51:54.000Z
C4793,3182.9600000000005,3,2024-06-11T06:32:12.000Z
C2340,797.94,1,2024-08-25T03:24:57.000Z
C4022,2922.06,3,2024-09-13T23:38:49.000Z
C2161,1169.96,1,2023-12-29T01:42:28.000Z
C4783,3178.35,2,2024-12-03T02:36:26.000Z
C4447,2148.6,2,2024-04-16T03:27:32.000Z
C4982,182.53,1,2024-08-01T06:44:35.000Z
C1240,926.54,2,2024-07-28T22:49:00.000Z
C4136,1672.23,3,2024-07-19T20:24:59.000Z
C0564,4444.219999999999,4,2024-11-30T18:44:12.000Z
C2977,388.21,1,2024-11-30T00:00:51.000Z
C0284,428.1,1,2024-03-28T04:18:10.000Z
C1030,743.4,1,2024-07-04T07:41:10.000Z
C1462,166.74,2,2024-10-03T03:22:42.000Z
C1873,231.57999999999998,2,2024-09-09T23:29:06.000Z
C2637,696.56,3,2024-04-18T20:23:25.000Z
C3948,3403.6899999999996,5,2024-08-13T19:41:15.000Z
C0102,846.05,3,2024-12-11T11:09:11.000Z
C4774,290.75,1,2024-12-22T00:08:12.000Z
C0568,2197.7400000000002,2,2024-02-18T04:35:37.000Z
C2529,2228.1,1,2024-08-10T04:22:53.000Z
C1076,293.17999999999995,2,2024-06-30T08:34:47.000Z
C4575,893.6699999999998,3,2024-08-08T05:14:39.000Z
C3975,945.44,1,2024-03-18T13:11:50.000Z
C3786,1432.08,2,2024-11-18T18:10:36.000Z
C2549,1116.8799999999999,2,2024-04-30T11:08:42.000Z
C4898,2615.5199999999995,4,2024-10-29T07:26:58.000Z
C2047,91.35,1,2024-01-30T15:40:55.000Z
C2287,4071.04,3,2024-12-21T03:21:11.000Z
C4969,2240.26,3,2024-09-05T12:46:27.000Z
C1156,2425.08,2,2024-08-16T03:49:54.000Z
C3594,2779.75,2,2024-11-17T02:18:02.000Z
C0061,4199.9,2,2024-07-11T07:12:12.000Z
C1662,764.0600000000001,2,2024-07-10T12:23:20.000Z
C3952,925.8199999999999,2,2024-03-04T18:48:19.000Z
C3487,256.82,1,2024-07-28T16:51:01.000Z
C1118,2693.05,4,2024-11-25T22:17:03.000Z
C4130,4181.210000000001,4,2024-10-13T11:08:20.000Z
C1859,1913.53,5,2024-08-26T19:40:18.000Z
C3042,1906.5600000000002,3,2024-11-24T23:04:47.000Z
C3200,2186.65,1,2024-07-11T12:14:54.000Z
C0445,1660.53,3,2024-08-25T00:45:57.000Z
C4072,1556.8600000000001,3,2024-10-05T11:42:57.000Z
C0028,1297.38,2,2024-08-31T01:01:56.000Z
C2376,1265.4,3,2024-07-10T09:54:03.000Z
C4397,812.46,1,2024-03-30T17:56:27.000Z
C0919,363.62,2,2024-11-22T14:34:42.000Z
C4878,2451.7400000000002,3,2024-11-11T22:52:08.000Z
C3530,475.46999999999997,2,2024-09-24T17:23:17.000Z
C1332,2282.44,3,2024-10-28T10:39:53.000Z
C0337,3622.14,4,2024-11-04T00:46:36.000Z
C1759,2097.76,3,2024-09-29T16:58:29.000Z
C3859,3356.2,3,2024-08-13T08:47:25.000Z
C0352,971.12,1,2024-10-14T02:43:48.000Z
C4825,683.15,3,2024-10-27T12:32:52.000Z
C0673,1721.28,2,2024-10-25T14:22:39.000Z
C4002,151.26,1,2024-09-05T16:22:36.000Z
C1668,259.93,1,2024-02-19T20:39:12.000Z
C0812,488.78000000000003,2,2024-06-20T13:57:55.000Z
C2438,459.34,2,2024-10-15T06:36:03.000Z
C2869,931.4,1,2024-07-19T03:22:19.000Z
C4489,779.75,1,2024-11-10T23:22:41.000Z
C2875,1237.15,3,2024-08-18T01:32:24.000Z
C4727,2248.85,2,2024-09-26T18:51:39.000Z
C4513,105.75,1,2024-07-22T14:53:15.000Z
C2710,1171.54,2,2024-11-13T02:50:20.000Z
C1854,4408.35,3,2024-12-04T22:10:03.000Z
C0058,1133.28,1,2024-08-04T08:20:06.000Z
C3306,1783.72,2,2024-05-02T22:29:21.000Z
C0820,3011.9,2,2024-07-16T23:12:37.000Z
C0872,173.0,1,2024-04-16T23:25:53.000Z
C4409,3136.24,3,2024-11-06T09:22:30.000Z
C3078,1915.0,1,2024-02-20T17:28:18.000Z
C3541,24.05,1,2024-06-24T00:25:58.000Z
C4753,1924.2,3,2024-11-27T03:41:56.000Z
C4694,206.43,1,2024-11-13T13:36:11.000Z
C4849,484.16,1,2023-12-27T23:39:32.000Z
C0727,1469.6599999999999,2,2024-06-28T19:29:38.000Z
C0050,2081.55,1,2024-01-10T11:38:15.000Z
C2151,172.29000000000002,2,2024-03-16T21:12:20.000Z
C0483,547.35,1,2024-08-24T22:43:37.000Z
C0734,699.36,2,2024-03-04T22:17:31.000Z
C0732,483.26,1,2024-07-05T21:14:07.000Z
C0109,1358.07,3,2024-12-02T13:31:30.000Z
C4482,961.32,1,2024-08-10T11:31:59.000Z
C0538,603.74,1,2024-09-24T01:51:44.000Z
C3035,4606.53,3,2024-11-07T23:14:35.000Z
C1552,746.01,2,2024-12-06T08:54:31.000Z
C4376,1628.4,1,2024-07-25T20:10:21.000Z
C2396,2122.16,3,2024-10-06T09:57:14.000Z
C2157,3687.1,3,2024-10-06T17:49:33.000Z
C0646,3473.84,3,2024-11-08T14:26:57.000Z
C1549,3735.19,6,2024-11-07T16:30:41.000Z
C2537,3524.7,2,2024-11-26T19:09:50.000Z
C2012,1520.3,1,2024-10-16T02:11:22.000Z
C0469,55.64,1,2024-05-12T21:59:05.000Z
C1479,916.25,2,2024-11-04T10:21:20.000Z
C3903,547.22,1,2024-07-21T19:23:30.000Z
C0927,689.28,1,2024-08-20T11:33:07.000Z
C1300,985.56,2,2024-11-01T19:55:04.000Z
C1559,426.29,1,2024-09-09T00:21:06.000Z
C3547,46.3,1,2024-03-03T19:34:15.000Z
C0139,444.14,1,2024-10-31T13:40:51.000Z
C3720,1026.1,1,2024-08-07T20:33:39.000Z
C0759,1585.25,1,2024-04-10T10:45:53.000Z
C2276,1781.6399999999999,2,2024-08-28T23:51:26.000Z
C3266,653.55,2,2024-04-23T12:38:44.000Z
C0773,1001.4899999999999,4,2024-12-23T06:29:34.000Z
C4541,40.91,1,2024-11-19T15:07:52.000Z
C4432,1598.28,4,2024-07-20T04:58:18.000Z
C3939,2942.28,3,2024-06-20T12:21:17.000Z
C4660,1441.2600000000002,2,2024-11-20T14:24:49.000Z
C3161,2170.5299999999997,4,2024-08-10T23:16:29.000Z
C1609,3865.67,4,2024-11-15T06:49:43.000Z
C4074,577.98,1,2024-12-13T23:50:11.000Z
C3483,2218.71,4,2024-12-20T17:30:45.000Z
C1115,2099.86,3,2024-06-13T07:06:19.000Z
C1404,525.32,1,2024-06-01T11:58:46.000Z
C4222,608.36,1,2024-02-26T11:35:10.000Z
C1014,1527.43,2,2024-08-08T07:12:22.000Z
C1409,909.6700000000001,3,2024-06-27T00:07:27.000Z
C2839,426.24,1,2024-09-30T07:50:52.000Z
C0861,62.53,1,2024-07-18T17:10:13.000Z
C4421,1692.79,5,2024-11-30T01:59:20.000Z
C0185,1651.77,2,2024-06-09T15:05:26.000Z
C4773,2442.9399999999996,4,2024-11-13T22:45:21.000Z
C2649,4394.41,4,2024-09-10T20:04:56.000Z
C4503,4233.56,3,2024-12-09T03:56:19.000Z
C3256,1596.3600000000001,2,2024-06-25T18:43:25.000Z
C2741,5795.820000000001,5,2024-11-12T15:49:32.000Z
C3741,845.34,3,2024-11-26T02:38:50.000Z
C1239,3097.4900000000002,3,2024-10-14T18:04:28.000Z
C3272,2032.2400000000002,5,2024-10-08T09:45:35.000Z
C2884,3794.8600000000006,4,2024-06-01T22:28:08.000Z
C2829,1125.31,2,2024-11-08T05:36:19.000Z
C1585,1536.9499999999998,4,2024-12-21T02:14:10.000Z
C4868,1947.5400000000002,3,2024-11-12T05:01:35.000Z
C0325,1979.92,2,2024-08-13T15:28:23.000Z
C2146,217.63,2,2024-06-02T17:59:26.000Z
C0381,1327.86,2,2024-07-16T02:33:17.000Z
C0006,3021.41,2,2024-05-23T19:14:10.000Z
C1908,3769.4300000000003,4,2024-10-11T22:07:41.000Z
C0719,555.07,2,2024-12-18T23:25:00.000Z
C2263,2225.7799999999997,2,2024-03-02T11:43:17.000Z
C3945,1940.56,1,2024-03-06T08:52:22.000Z
C2339,1426.68,1,2024-03-12T05:28:33.000Z
C1110,311.11,2,2024-03-05T14:48:22.000Z
C4888,971.69,2,2024-09-13T12:11:48.000Z
C4419,41.31,1,2024-10-27T06:20:04.000Z
C4210,3048.8,3,2024-12-16T01:15:06.000Z
C2072,3436.65,4,2024-09-04T23:43:12.000Z
C4614,2861.95,2,2024-11-16T07:40:23.000Z
C3131,2679.2,4,2024-11-13T21:40:12.000Z
C1706,801.39,2,2024-10-22T18:57:12.000Z
C4369,749.82,2,2024-05-08T05:44:06.000Z
C3925,4460.820000000001,5,2024-10-16T15:27:54.000Z
C0841,132.46,1,2024-08-14T09:32:49.000Z
C3101,1100.4,1,2024-11-09T07:20:51.000Z
C1601,1259.9499999999998,2,2024-12-04T00:45:09.000Z
C0844,1214.5500000000002,1,2024-12-01T14:39:41.000Z
C1690,2041.54,4,2024-09-13T10:24:23.000Z
C3707,747.3399999999999,2,2024-06-07T23:09:06.000Z
C0049,2348.44,4,2024-09-28T08:55:00.000Z
C1543,2685.55,3,2024-12-21T12:56:22.000Z
C3576,4346.3099999999995,5,2024-09-22T15:34:08.000Z
C4453,1047.6,1,2024-03-16T17:22:00.000Z
C4431,435.8,1,2024-03-11T16:23:14.000Z
C1675,1395.9,1,2024-07-18T21:52:14.000Z
C0762,767.34,1,2024-06-11T23:15:59.000Z
C1375,1267.1,1,2024-02-24T14:54:58.000Z
C3085,405.56,1,2024-07-25T05:10:21.000Z
C1879,1771.1200000000001,2,2024-07-27T14:03:37.000Z
C1974,296.94,1,2024-06-20T15:15:02.000Z
C4424,2673.5299999999997,3,2024-10-06T11:02:54.000Z
C1574,420.52,2,2024-12-06T06:52:11.000Z
C2097,211.57,1,2024-08-30T06:18:08.000Z
C0300,8545.41,7,2024-10-27T21:41:23.000Z
C0577,1246.25,3,2024-11-15T00:34:40.000Z
C0215,600.96,1,2024-02-12T01:19:42.000Z
C0725,2642.24,4,2024-11-18T04:59:16.000Z
C0282,1100.06,2,2024-08-10T16:02:08.000Z
C4908,123.3,1,2024-08-02T07:26:59.000Z
C1837,518.4000000000001,1,2024-02-09T12:16:23.000Z
C4604,1050.84,1,2024-11-11T03:52:02.000Z
C1231,1885.48,2,2024-12-18T05:19:32.000Z
C1951,404.21,1,2023-12-26T21:22:27.000Z
C1131,542.24,1,2024-01-02T15:55:17.000Z
C2134,864.4499999999999,1,2024-05-30T00:59:10.000Z
C0247,1339.04,2,2024-06-22T11:30:38.000Z
C3173,2020.1699999999998,2,2024-12-12T08:40:37.000Z
C2348,1808.5500000000002,3,2024-10-11T05:41:21.000Z
C3387,1602.6,2,2024-11-20T15:04:19.000Z
C2238,1839.56,2,2024-12-08T23:26:15.000Z
C3717,204.16,1,2024-01-25T17:06:12.000Z
C3388,271.45,1,2024-08-03T08:33:11.000Z
