TransactionID,CustomerID,ProductID,Category,Quantity,Price,TransactionDate
T000111,C1155,P00451,Books,1,185.14,2024-11-07 05:38:43
T000112,C3908,P00274,Home Appliances,1,125.99,2024-11-03 05:17:09
T000113,C1208,P00599,Home Appliances,2,297.39,2024-02-14 22:30:55
T000114,C0109,P00317,Home Appliances,4,16.08,2024-09-28 05:55:29
T000115,C0597,P00274,Home Appliances,3,305.07,2024-06-22 11:39:54
T000116,C2798,P00136,Fashion,5,259.24,2024-04-18 10:05:04
T000117,C3143,P00824,Groceries,1,94.82,2024-09-30 18:38:57
T000118,C3316,P00556,Sports,1,467.87,2024-01-07 13:40:47
T000119,C0132,P00605,Home Appliances,3,496.64,2024-06-19 23:11:24
T000120,C0819,P00316,Fashion,2,125.37,2024-11-28 00:35:55
T000121,C0862,P00646,Groceries,4,167.63,2024-09-15 20:08:17
T000122,C1420,P00617,Books,5,476.16,2024-01-07 23:45:51
T000123,C2921,P00018,Groceries,5,255.72,2024-04-01 13:43:51
T000124,C2056,P00878,Groceries,5,295.37,2024-07-25 08:58:11
T000125,C1808,P00302,Books,2,415.16,2024-04-24 11:54:32
T000126,C4184,P00672,Books,3,391.44,2024-06-18 15:33:19
T000127,C0760,P00395,Home Appliances,3,340.87,2024-05-31 07:27:00
T000128,C4211,P00661,Sports,3,327.96,2024-05-31 00:59:29
T000129,C4073,P00963,Home Appliances,2,75.27,2024-06-05 18:38:46
T000130,C4015,P00998,Fashion,3,141.99,2024-03-31 23:48:54
T000131,C0559,P00028,Sports,4,359.62,2024-11-06 13:18:40
T000132,C2844,P00258,Home Appliances,1,405.11,2024-11-30 10:15:53
T000133,C4684,P00429,Sports,5,231.94,2024-11-30 04:23:28
T000134,C3878,P00278,Electronics,3,81.33,2024-08-09 13:48:49
T000135,C1621,P00719,Fashion,2,426.86,2024-01-05 10:00:38
T000136,C0923,P00765,Electronics,4,467.86,2024-02-17 14:51:26
T000137,C1455,P00685,Books,2,234.45,2024-11-06 11:20:27
T000138,C4266,P00991,Groceries,5,96.44,2024-11-16 01:01:47
T000139,C3995,P00793,Books,5,394.89,2024-02-02 04:28:21
T000140,C4417,P00234,Groceries,3,315.61,2024-04-04 14:03:32
T000141,C4614,P00869,Fashion,4,386.45,2024-08-19 09:22:21
T000142,C2266,P00679,Home Appliances,4,38.52,2023-12-25 20:06:37
T000143,C2687,P00527,Groceries,3,151.37,2024-02-17 13:39:24
T000144,C2406,P00992,Home Appliances,1,403.65,2024-08-26 07:37:40
T000145,C0370,P00412,Fashion,3,290.96,2024-08-08 23:14:37
T000146,C1469,P00636,Books,2,314.78,2024-09-23 22:24:48
T000147,C2805,P00504,Fashion,1,248.13,2024-02-13 09:38:30
T000148,C0855,P00933,Groceries,4,348.97,2024-04-02 21:52:23
T000149,C2813,P00539,Groceries,2,66.47,2024-02-06 22:27:46
T000150,C4017,P00575,Electronics,3,23.99,2024-11-23 09:30:32
T000151,C3910,P00903,Electronics,1,100.46,2024-11-02 23:33:06
T000152,C1304,P00415,Home Appliances,3,302.49,2024-09-06 08:31:29
T000153,C2886,P00025,Fashion,4,400.14,2024-04-14 02:20:31
T000154,C3919,P00224,Home Appliances,4,230.29,2024-09-27 11:00:31
T000155,C0442,P00819,Home Appliances,1,455.9,2024-02-06 21:51:11
T000156,C3382,P00439,Groceries,3,482.82,2024-04-25 19:19:24
T000157,C2910,P00858,Electronics,2,240.99,2024-05-30 06:33:01
T000158,C4287,P00842,Electronics,4,116.56,2024-10-21 23:04:23
T000159,C4804,P00334,Groceries,3,490.83,2024-03-09 21:02:44
T000160,C3989,P00182,Groceries,2,211.58,2024-03-09 14:48:39
T000161,C0842,P00600,Groceries,1,328.3,2024-01-21 05:01:37
T000162,C0017,P00342,Home Appliances,1,134.89,2024-02-16 21:50:41
T000163,C3103,P00197,Fashion,2,406.66,2024-08-10 19:54:38
T000164,C0987,P00512,Groceries,4,30.43,2024-06-06 21:19:47
T000165,C2023,P00137,Sports,3,448.53,2024-05-03 23:10:51
T000166,C2212,P00497,Home Appliances,5,453.39,2024-08-03 01:22:08
T000167,C4520,P00644,Fashion,5,77.48,2024-08-31 19:28:47
T000168,C0937,P00436,Home Appliances,3,347.07,2024-08-09 08:55:47
T000169,C2070,P00074,Electronics,1,419.52,2024-02-27 04:32:34
T000170,C0687,P00961,Groceries,2,374.86,2024-01-14 20:02:41
T000171,C4334,P00047,Books,3,120.95,2024-12-08 10:00:27
T000172,C4421,P00102,Groceries,3,76.95,2024-06-22 11:41:30
T000173,C0413,P00333,Books,1,384.47,2024-12-03 22:34:30
T000174,C4208,P00723,Groceries,2,261.18,2024-05-22 23:51:55
T000175,C0780,P00421,Fashion,3,121.43,2024-10-04 02:58:07
T000176,C4852,P00248,Home Appliances,2,136.15,2024-03-16 11:13:24
T000177,C0376,P00002,Home Appliances,2,408.48,2024-07-01 22:33:23
T000178,C2825,P00555,Groceries,1,18.6,2024-07-29 18:05:01
T000179,C2316,P00956,Sports,5,292.67,2024-06-30 19:27:51
T000180,C0185,P00168,Electronics,5,238.21,2024-05-15 12:06:45
T000181,C4185,P00245,Home Appliances,1,204.64,2024-08-08 02:55:55
T000182,C1397,P00601,Sports,3,222.84,2024-01-24 09:01:02
T000183,C4037,P00223,Home Appliances,2,160.68,2024-07-09 21:08:24
T000184,C0537,P00053,Groceries,1,494.12,2024-06-20 07:23:47
T000185,C2492,P00784,Groceries,2,237.46,2024-06-22 06:49:19
T000186,C2412,P00844,Groceries,1,96.74,2024-09-14 00:21:38
T000187,C0567,P00138,Groceries,4,101.39,2024-05-19 05:30:11
T000188,C0166,P00750,Home Appliances,4,48.82,2024-06-18 00:39:24
T000189,C0897,P00615,Fashion,5,433.07,2024-01-04 20:37:43
T000190,C0804,P00853,Fashion,2,482.91,2024-04-17 16:58:01
T000191,C3625,P00102,Groceries,3,63.48,2024-03-26 12:24:22
T000192,C1120,P00256,Groceries,4,126.53,2024-03-30 16:24:46
T000193,C1064,P00526,Electronics,5,68.18,2024-12-11 12:45:40
T000194,C4062,P00806,Groceries,3,381.42,2024-03-04 21:50:28
T000195,C3896,P00967,Books,3,83.27,2024-08-02 07:04:26
T000196,C3836,P00047,Books,5,400.49,2024-05-22 20:14:04
T000197,C3810,P00605,Home Appliances,5,385.52,2024-07-26 11:13:08
T000198,C4046,P00574,Fashion,5,448.51,2024-09-04 12:23:03
T000199,C2791,P00922,Fashion,3,411.45,2024-11-01 11:34:29
T000200,C1117,P00494,Electronics,3,382.96,2024-04-18 21:22:18
T000201,C2875,P00860,Fashion,1,339.45,2023-12-27 07:40:51
T000202,C4421,P00727,Sports,3,83.59,2024-03-07 04:48:00
T000203,C4656,P00613,Electronics,5,411.91,2024-11-25 15:19:47
T000204,C0807,P00089,Groceries,3,173.35,2024-02-02 02:54:38
T000205,C0773,P00255,Fashion,2,62.63,2024-12-23 06:29:34
T000206,C1223,P00376,Home Appliances,4,240.38,2024-01-26 03:14:34
T000207,C2385,P00475,Home Appliances,2,140.79,2024-05-15 05:25:27
T000208,C4333,P00996,Books,3,426.9,2024-05-05 19:12:42
T000209,C1760,P00358,Home Appliances,4,397.46,2023-12-26 19:13:45
T000210,C0870,P00859,Books,3,356.73,2024-09-14 21:41:05
T000211,C4211,P00860,Fashion,4,499.44,2024-02-13 16:24:28
T000212,C4330,P00340,Sports,4,71.51,2024-04-07 15:51:17
T000213,C1687,P00320,Books,2,451.9,2024-09-24 23:11:26
T000214,C4351,P00533,Books,3,421.93,2024-05-23 13:36:16
T000215,C3771,P00496,Books,5,396.62,2024-05-17 12:04:36
T000216,C3999,P00587,Fashion,2,445.15,2024-05-22 00:31:30
T000217,C1412,P00425,Sports,3,181.6,2024-03-28 07:24:22
T000218,C1897,P00146,Sports,3,140.72,2024-10-26 10:00:36
T000219,C0363,P00604,Sports,5,414.08,2024-04-28 04:43:01
T000220,C0043,P00422,Sports,1,476.46,2024-06-11 11:04:14
T000221,C3709,P00431,Books,1,145.79,2024-07-10 19:29:47
T000222,C0535,P00281,Home Appliances,4,236.73,2024-02-22 20:38:05
T000223,C2861,P00727,Sports,5,272.89,2024-11-18 21:49:26
T000224,C0589,P00280,Fashion,4,305.99,2024-01-15 13:41:37
T000225,C0446,P00251,Fashion,5,424.86,2024-11-28 12:11:43
T000226,C1127,P00920,Books,4,460.95,2024-03-16 01:21:23
T000227,C3769,P00586,Books,5,487.69,2024-07-07 23:56:30
T000228,C0150,P00568,Sports,2,98.6,2024-11-04 05:06:02
T000229,C1988,P00397,Home Appliances,1,47.19,2024-01-07 14:26:33
T000230,C1270,P00226,Groceries,4,278.11,2024-07-18 21:56:07
T000231,C3010,P00646,Groceries,4,265.46,2024-08-14 23:27:35
T000232,C3127,P00982,Groceries,3,271.29,2024-07-11 14:16:33
T000233,C4644,P00088,Groceries,1,167.99,2024-05-26 17:33:55
T000234,C3898,P00994,Home Appliances,5,27.21,2024-06-19 08:27:13
T000235,C0350,P00236,Fashion,3,98.95,2023-12-27 19:31:09
T000236,C2137,P00025,Fashion,5,327.98,2024-09-15 13:17:04
T000237,C1867,P00984,Electronics,5,213.81,2024-04-30 02:05:35
T000238,C3295,P00696,Sports,4,90.41,2024-08-24 11:47:29
T000239,C3614,P00930,Fashion,5,167.12,2024-10-05 22:17:33
T000240,C1442,P00196,Home Appliances,3,48.24,2024-06-23 06:09:13
T000241,C2989,P00149,Home Appliances,5,173.97,2024-03-04 01:21:31
T000242,C1258,P00865,Home Appliances,1,168.52,2024-04-12 12:29:50
T000243,C3086,P00535,Groceries,2,265.07,2024-06-25 20:19:41
T000244,C4560,P00824,Groceries,4,238.75,2024-05-14 13:53:34
T000245,C1676,P00679,Home Appliances,4,367.02,2024-08-10 03:21:58
T000246,C1904,P00763,Fashion,4,50.89,2024-06-10 06:49:31
T000247,C0621,P00394,Groceries,4,469.14,2024-01-23 16:44:27
T000248,C4120,P00627,Electronics,4,219.49,2024-02-08 23:01:07
T000249,C0560,P00982,Groceries,5,111.08,2024-08-30 02:08:54
T000250,C1472,P00778,Books,4,487.26,2024-01-27 05:55:26
T000251,C4195,P00043,Home Appliances,3,316.2,2024-10-21 04:56:14
T000252,C0402,P00527,Groceries,3,293.96,2024-09-19 19:47:53
T000253,C4083,P00475,Home Appliances,2,127.8,2024-03-01 01:59:41
T000254,C2620,P00229,Sports,5,29.93,2024-12-22 19:17:00
T000255,C2524,P00872,Electronics,4,30.41,2024-10-30 07:31:24
T000256,C2431,P00819,Home Appliances,2,39.75,2024-11-01 21:13:33
T000257,C1192,P00327,Home Appliances,5,47.91,2024-06-01 04:52:59
T000258,C4665,P00038,Home Appliances,5,130.12,2024-05-02 17:33:39
T000259,C3882,P00556,Sports,3,29.86,2024-07-18 09:16:18
T000260,C1297,P00348,Fashion,3,24.87,2024-08-09 10:58:32
T000261,C4330,P00259,Electronics,1,234.13,2024-04-17 16:22:53
T000262,C2228,P00358,Home Appliances,3,345.65,2024-01-30 15:35:16
T000263,C3147,P00663,Electronics,2,203.69,2024-05-19 04:16:47
T000264,C3029,P00802,Groceries,1,35.45,2024-08-28 00:53:45
T000265,C2228,P00274,Home Appliances,1,184.28,2024-08-21 22:40:56
T000266,C2397,P00151,Fashion,4,46.14,2024-10-31 22:52:19
T000267,C1009,P00282,Electronics,4,499.22,2024-11-18 23:28:53
T000268,C2862,P00209,Home Appliances,1,434.62,2024-08-29 00:32:32
T000269,C1366,P00516,Books,3,90.55,2024-06-15 19:51:15
T000270,C1520,P00194,Home Appliances,1,426.63,2024-03-26 19:37:17
T000271,C1635,P00009,Sports,4,123.16,2024-03-09 23:57:30
T000272,C1184,P00519,Books,3,468.89,2024-07-24 10:33:26
T000273,C1740,P00329,Sports,1,146.98,2024-02-15 18:33:56
T000274,C2602,P00069,Home Appliances,2,303.09,2024-02-09 22:23:13
T000275,C2969,P00011,Books,2,75.52,2024-03-28 00:59:14
T000276,C3305,P00928,Sports,3,308.82,2024-04-27 05:58:08
T000277,C2118,P00700,Fashion,5,340.69,2024-09-23 19:21:31
T000278,C4629,P00618,Fashion,5,368.07,2024-08-11 21:49:58
T000279,C0902,P00384,Fashion,2,491.03,2024-05-30 23:23:09
T000280,C3131,P00375,Groceries,3,248.58,2024-04-01 22:25:54
T000281,C0571,P00167,Fashion,5,379.59,2024-09-22 03:31:00
T000282,C2521,P00778,Books,4,252.85,2024-07-10 15:42:21
T000283,C4977,P00613,Electronics,2,113.85,2024-01-30 23:30:56
T000284,C3081,P00590,Sports,3,135.51,2024-05-29 17:22:03
T000285,C1706,P00832,Books,1,435.21,2024-04-27 15:56:12
T000286,C3218,P00226,Groceries,5,308.7,2024-09-10 01:44:16
T000287,C2500,P00361,Home Appliances,1,90.71,2024-08-23 16:47:53
T000288,C0977,P00706,Groceries,4,255.77,2024-02-05 23:48:50
T000289,C1712,P00362,Books,2,183.83,2024-01-27 07:50:26
T000290,C4475,P00026,Sports,3,417.16,2024-12-13 23:22:29
T000291,C1039,P00190,Sports,3,338.39,2024-11-12 12:04:54
T000292,C4836,P00244,Home Appliances,5,213.23,2024-02-20 16:47:55
T000293,C1013,P00806,Groceries,4,313.34,2024-06-28 20:38:07
T000294,C4977,P00876,Sports,2,107.84,2024-07-01 05:57:08
T000295,C1712,P00986,Groceries,3,262.71,2024-08-18 21:19:13
T000296,C2245,P00779,Fashion,2,148.5,2024-04-22 10:23:01
T000297,C1545,P00599,Home Appliances,1,164.09,2024-06-16 18:43:07
T000298,C2682,P00624,Groceries,4,89.72,2024-04-08 05:25:53
T000299,C2640,P00709,Electronics,3,123.19,2024-02-29 01:15:42
T000300,C1455,P00674,Electronics,2,222.88,2024-03-31 16:39:52
T000301,C1753,P00929,Electronics,4,375.1,2024-11-25 19:11:46
T000302,C3358,P00340,Sports,4,208.23,2024-02-14 01:19:37
T000303,C3110,P00591,Sports,5,99.2,2024-06-01 18:23:51
T000304,C0257,P00412,Fashion,1,449.74,2024-06-12 16:41:19
T000305,C4812,P00046,Electronics,1,441.99,2024-03-27 10:22:00
T000306,C3654,P00551,Groceries,4,69.01,2024-07-31 06:13:22
T000307,C1515,P00652,Electronics,2,145.21,2024-10-18 14:23:20
T000308,C3140,P00636,Books,5,267.57,2024-09-23 18:34:06
T000309,C3871,P00881,Fashion,1,201.85,2024-10-09 21:05:35
T000310,C0849,P00795,Groceries,2,115.35,2024-07-01 14:12:36
T000311,C4279,P00601,Sports,4,444.15,2024-06-18 15:28:58
T000312,C4255,P00884,Electronics,2,434.58,2024-10-29 15:16:03
T000313,C2994,P00171,Sports,1,298.44,2024-01-05 08:00:07
T000314,C1875,P00052,Groceries,3,471.48,2024-09-12 05:35:40
T000315,C4044,P00499,Books,3,306.77,2024-09-17 20:08:44
T000316,C4583,P00606,Fashion,4,66.66,2024-09-11 06:10:24
T000317,C2570,P00624,Groceries,2,455.69,2024-12-10 05:15:26
T000318,C1522,P00678,Fashion,5,179.07,2023-12-27 05:23:05
T000319,C1909,P00128,Home Appliances,5,412.98,2024-06-04 00:28:20
T000320,C1492,P00846,Home Appliances,3,274.87,2024-07-04 11:52:03
T000321,C2304,P00689,Electronics,3,268.99,2024-02-26 02:58:47
T000322,C1336,P00599,Home Appliances,3,374.95,2024-12-15 20:04:44
T000323,C1194,P00477,Home Appliances,3,266.75,2024-10-08 11:51:41
T000324,C4765,P00157,Sports,3,328.49,2024-07-02 10:25:08
T000325,C1698,P00188,Electronics,4,201.47,2024-05-27 23:55:31
T000326,C3236,P00727,Sports,1,241.99,2024-02-15 17:37:27
T000327,C0520,P00931,Groceries,5,31.33,2024-02-26 11:01:19
T000328,C4241,P00814,Sports,1,224.67,2024-02-20 16:18:25
T000329,C3492,P00495,Books,2,439.09,2024-07-31 09:47:26
T000330,C2476,P00583,Sports,4,264.75,2024-03-07 16:22:54
T000331,C1505,P00875,Home Appliances,3,454.93,2024-02-04 09:43:38
T000332,C0004,P00421,Fashion,2,299.05,2024-10-24 13:24:20
T000333,C2957,P00372,Books,5,131.6,2024-04-17 12:13:27
T000334,C4585,P00594,Electronics,4,328.5,2024-09-07 16:48:01
T000335,C1954,P00851,Groceries,5,191.34,2024-05-22 09:44:56
T000336,C3073,P00932,Home Appliances,3,267.22,2024-03-04 05:19:58
T000337,C4421,P00314,Sports,3,239.43,2024-07-22 14:38:42
T000338,C0748,P00710,Groceries,4,66.83,2024-10-19 14:37:58
T000339,C4914,P00451,Books,3,39.61,2024-09-11 23:20:58
T000340,C0223,P00832,Books,2,303.99,2024-05-14 20:09:17
T000341,C1533,P00322,Sports,5,271.92,2024-06-22 04:59:05
T000342,C4952,P00881,Fashion,5,374.01,2024-06-22 17:31:45
T000343,C4695,P00913,Sports,4,219.7,2024-03-10 09:00:29
T000344,C3914,P00185,Sports,4,268.31,2024-03-23 12:46:18
T000345,C2849,P00353,Home Appliances,3,386.47,2024-09-13 14:43:01
T000346,C1227,P00654,Home Appliances,3,202.78,2024-08-07 13:50:59
T000347,C0417,P00589,Books,1,15.32,2024-07-15 08:35:32
T000348,C2327,P00168,Electronics,4,145.33,2024-08-27 23:14:07
T000349,C4440,P00215,Books,3,445.28,2024-08-03 18:41:57
T000350,C0607,P00347,Electronics,5,412.97,2024-12-13 18:45:10
T000351,C4583,P00210,Sports,4,292.55,2024-08-06 20:57:11
T000352,C3535,P00392,Electronics,3,31.46,2024-01-10 17:06:32
T000353,C3469,P00090,Books,1,262.33,2024-02-18 00:19:30
T000354,C4715,P00100,Books,4,32.76,2024-01-29 21:09:16
T000355,C2262,P00427,Electronics,2,31.78,2023-12-29 00:45:37
T000356,C4213,P00726,Fashion,4,208.17,2024-08-28 06:47:58
T000357,C4594,P00338,Home Appliances,4,189.1,2024-08-05 06:08:24
T000358,C3921,P00441,Fashion,2,220.07,2024-02-15 09:08:48
T000359,C4738,P00483,Electronics,4,345.62,2024-09-25 02:44:44
T000360,C2366,P00024,Fashion,4,173.62,2024-06-04 01:34:00
T000361,C2060,P00594,Electronics,1,135.11,2024-05-26 12:07:04
T000362,C1289,P00945,Groceries,1,151.75,2024-04-10 03:43:47
T000363,C0934,P00546,Home Appliances,3,30.84,2024-07-21 09:54:54
T000364,C2260,P00758,Groceries,2,384.21,2024-01-03 09:56:19
T000365,C1507,P00202,Fashion,5,152.29,2024-06-22 13:18:03
T000366,C0163,P00934,Groceries,5,224.95,2024-09-08 07:20:18
T000367,C3782,P00662,Fashion,5,378.95,2024-10-12 14:03:45
T000368,C1966,P00188,Electronics,3,497.59,2024-10-14 08:49:23
T000369,C3683,P00915,Books,3,119.09,2024-06-05 21:30:20
T000370,C3692,P00476,Fashion,2,55.59,2024-02-17 21:32:57
T000371,C1915,P00027,Home Appliances,4,133.29,2024-06-27 09:28:43
T000372,C2188,P00480,Home Appliances,3,258.34,2024-04-17 01:58:36
T000373,C2418,P00520,Electronics,3,328.43,2024-04-15 11:59:51
T000374,C3734,P00780,Groceries,2,89.99,2024-06-01 12:17:02
T000375,C4120,P00463,Fashion,5,296.29,2024-08-28 23:18:10
T000376,C4890,P00430,Sports,4,93.93,2023-12-26 06:55:40
T000377,C1503,P00275,Sports,4,116.65,2024-03-07 19:46:59
T000378,C4097,P00107,Fashion,4,352.32,2024-01-20 09:20:10
T000379,C3845,P00649,Books,2,266.92,2024-10-18 00:42:30
T000380,C2452,P00120,Groceries,5,457.74,2024-04-07 10:34:27
T000381,C2321,P00451,Books,4,32.92,2024-08-09 15:23:37
T000382,C3059,P00450,Electronics,4,198.26,2024-11-24 10:33:28
T000383,C1492,P00275,Sports,5,152.88,2024-08-14 22:04:54
T000384,C2918,P00624,Groceries,5,450.75,2024-03-03 19:38:29
T000385,C2124,P00441,Fashion,4,85.41,2024-11-11 10:19:20
T000386,C1771,P00971,Home Appliances,3,276.55,2024-05-05 08:34:27
T000387,C3477,P00289,Groceries,5,212.12,2024-04-13 05:34:13
